text,reading,btype
青臭い,あおくさい,形容詞
青くさい,あおくさい,形容詞
あお臭い,あおくさい,形容詞
あおくさい,あおくさい,形容詞
仰ぐ,あおぐ,動詞
あおぐ,あおぐ,動詞
扇ぐ,あおぐ,動詞
あおぐ,あおぐ,動詞
仰げる,あおげる,動詞
あおげる,あおげる,動詞
扇げる,あおげる,動詞
あおげる,あおげる,動詞
青褪める,あおざめる,動詞
あお褪める,あおざめる,動詞
青ざめる,あおざめる,動詞
あおざめる,あおざめる,動詞
青写真,あおじゃしん,名詞
あおじゃしん,あおじゃしん,名詞
青白い,あおじろい,形容詞
青じろい,あおじろい,形容詞
あお白い,あおじろい,形容詞
あおじろい,あおじろい,形容詞
青空,あおぞら,名詞
あおぞら,あおぞら,名詞
青田,あおた,名詞
あおた,あおた,名詞
青大将,あおだいしょう,名詞
青大しょう,あおだいしょう,名詞
あおだいしょう,あおだいしょう,名詞
青天井,あおてんじょう,名詞
青てんじょう,あおてんじょう,名詞
あおてんじょう,あおてんじょう,名詞
青菜,あおな,名詞
あおな,あおな,名詞
青二才,あおにさい,名詞
あおにさい,あおにさい,名詞
青海苔,あおのり,名詞
青のり,あおのり,名詞
あおのり,あおのり,名詞
青葉,あおば,名詞
あおば,あおば,名詞
仰向く,あおむく,動詞
あお向く,あおむく,動詞
仰むく,あおむく,動詞
あおむく,あおむく,動詞
仰向け,あおむけ,名詞
あお向け,あおむけ,名詞
あおむけ,あおむけ,名詞
仰向ける,あおむける,動詞
あお向ける,あおむける,動詞
仰むける,あおむける,動詞
あおむける,あおむける,動詞
青虫,あおむし,名詞
あおむし,あおむし,名詞
青物,あおもの,名詞
青もの,あおもの,名詞
あおもの,あおもの,名詞
煽る,あおる,動詞
あおる,あおる,動詞
煽れる,あおれる,動詞
あおれる,あおれる,動詞
垢,あか,名詞
アカ,あか,名詞
あか,あか,名詞
赤,あか,名詞
あか,あか,名詞
赤々,あかあか,副詞
赤赤,あかあか,副詞
あかあか,あかあか,副詞
赤い,あかい,形容詞
あかい,あかい,形容詞
赤色,あかいろ,名詞
あかいろ,あかいろ,名詞
赤毛,あかげ,名詞
あかげ,あかげ,名詞
赤子,あかご,名詞
あかご,あかご,名詞
赤米,あかごめ,名詞
あかごめ,あかごめ,名詞
赤錆び,あかさび,名詞
赤錆,あかさび,名詞
赤銹,あかさび,名詞
赤さび,あかさび,名詞
あかさび,あかさび,名詞
証,あかし,名詞
あかし,あかし,名詞
アカシア,あかしあ,名詞
赤潮,あかしお,名詞
赤しお,あかしお,名詞
あかしお,あかしお,名詞
赤字,あかじ,名詞
あかじ,あかじ,名詞
明かす,あかす,動詞
あかす,あかす,動詞
明かせる,あかせる,動詞
あかせる,あかせる,動詞
赤茶ける,あかちゃける,動詞
赤ちゃける,あかちゃける,動詞
あか茶ける,あかちゃける,動詞
あかちゃける,あかちゃける,動詞
赤ちゃん,あかちゃん,名詞
あかちゃん,あかちゃん,名詞
暁,あかつき,名詞
あかつき,あかつき,名詞
赤土,あかつち,名詞
あかつち,あかつち,名詞
アカデミ,あかでみ,名詞
アカデミー,あかでみー,名詞
垢抜ける,あかぬける,動詞
あか抜ける,あかぬける,動詞
垢ぬける,あかぬける,動詞
あかぬける,あかぬける,動詞
茜,あかね,名詞
あかね,あかね,名詞
アカネ,あかね,名詞
茜色,あかねいろ,名詞
アカネ色,あかねいろ,名詞
あかね色,あかねいろ,名詞
アカネいろ,あかねいろ,名詞
あかねいろ,あかねいろ,名詞
赤旗,あかはた,名詞
赤はた,あかはた,名詞
あかはた,あかはた,名詞
赤裸,あかはだか,名詞
赤はだか,あかはだか,名詞
あかはだか,あかはだか,名詞
赤松,あかまつ,名詞
赤まつ,あかまつ,名詞
あかまつ,あかまつ,名詞
赤身,あかみ,名詞
赤み,あかみ,名詞
あかみ,あかみ,名詞
赤虫,あかむし,名詞
あかむし,あかむし,名詞
赤ら顔,あからがお,名詞
あからがお,あからがお,名詞
あからさまだ,あからさまだ,形容詞
明らむ,あからむ,動詞
あからむ,あからむ,動詞
赤らむ,あからむ,動詞
あからむ,あからむ,動詞
明らめる,あからめる,動詞
あからめる,あからめる,動詞
赤らめる,あからめる,動詞
あからめる,あからめる,動詞
明かり,あかり,名詞
明り,あかり,名詞
あかり,あかり,名詞
明かり取り,あかりとり,名詞
明り取り,あかりとり,名詞
あかりとり,あかりとり,名詞
明るい,あかるい,形容詞
あかるい,あかるい,形容詞
明るむ,あかるむ,動詞
あかるむ,あかるむ,動詞
明るめる,あかるめる,動詞
あかるめる,あかるめる,動詞
亜寒帯,あかんたい,名詞
亜寒たい,あかんたい,名詞
あ寒帯,あかんたい,名詞
あ寒たい,あかんたい,名詞
あかんたい,あかんたい,名詞
赤ん坊,あかんぼう,名詞
赤んぼう,あかんぼう,名詞
あかんぼう,あかんぼう,名詞
あがく,あがく,動詞
あがける,あがける,動詞
上がったり,あがったり,名詞
あがったり,あがったり,名詞
崇める,あがめる,動詞
あがめる,あがめる,動詞
上り口,あがりぐち,名詞
あがりぐち,あがりぐち,名詞
上がる,あがる,動詞
あがる,あがる,動詞
挙がる,あがる,動詞
あがる,あがる,動詞
揚がる,あがる,動詞
あがる,あがる,動詞
上がれる,あがれる,動詞
あがれる,あがれる,動詞
挙がれる,あがれる,動詞
あがれる,あがれる,動詞
揚がれる,あがれる,動詞
あがれる,あがれる,動詞
秋,あき,名詞
あき,あき,名詞
飽き飽き,あきあき,名詞
飽きあき,あきあき,名詞
あき飽き,あきあき,名詞
あきあき,あきあき,名詞
秋風,あきかぜ,名詞
あきかぜ,あきかぜ,名詞
空き缶,あきかん,名詞
空きかん,あきかん,名詞
あきかん,あきかん,名詞
秋草,あきくさ,名詞
あきくさ,あきくさ,名詞
秋口,あきぐち,名詞
あきぐち,あきぐち,名詞
秋雨,あきさめ,名詞
あきさめ,あきさめ,名詞
空き巣,あきす,名詞
空きす,あきす,名詞
あきす,あきす,名詞
飽き足りない,あきたりない,形容詞
飽きたりない,あきたりない,形容詞
あき足りない,あきたりない,形容詞
あきたりない,あきたりない,形容詞
飽き足る,あきたる,動詞
飽足る,あきたる,動詞
飽きたる,あきたる,動詞
あき足る,あきたる,動詞
飽たる,あきたる,動詞
あきたる,あきたる,動詞
飽き足れる,あきたれる,動詞
飽足れる,あきたれる,動詞
飽きたれる,あきたれる,動詞
あき足れる,あきたれる,動詞
飽たれる,あきたれる,動詞
あきたれる,あきたれる,動詞
空き地,あきち,名詞
空地,あきち,名詞
あきち,あきち,名詞
商う,あきなう,動詞
あきなう,あきなう,動詞
商える,あきなえる,動詞
あきなえる,あきなえる,動詞
空き箱,あきばこ,名詞
あきばこ,あきばこ,名詞
秋晴れ,あきばれ,名詞
秋晴,あきばれ,名詞
あきばれ,あきばれ,名詞
空き瓶,あきびん,名詞
空きびん,あきびん,名詞
あきびん,あきびん,名詞
秋めく,あきめく,動詞
あきめく,あきめく,動詞
秋めける,あきめける,動詞
あきめける,あきめける,動詞
空き家,あきや,名詞
あきや,あきや,名詞
明らかだ,あきらかだ,形容詞
あきらかだ,あきらかだ,形容詞
諦める,あきらめる,動詞
あきらめる,あきらめる,動詞
飽きる,あきる,動詞
あきる,あきる,動詞
呆れ顔,あきれがお,名詞
あきれ顔,あきれがお,名詞
あきれがお,あきれがお,名詞
アキレス腱,あきれすけん,名詞
アキレスけん,あきれすけん,名詞
呆れる,あきれる,動詞
惘れる,あきれる,動詞
あきれる,あきれる,動詞
明く,あく,動詞
あく,あく,動詞
空く,あく,動詞
あく,あく,動詞
開く,あく,動詞
あく,あく,動詞
悪,あく,名詞
あく,あく,名詞
灰汁,あく,名詞
アク,あく,名詞
あく,あく,名詞
悪意,あくい,名詞
あくい,あくい,名詞
悪運,あくうん,名詞
あくうん,あくうん,名詞
悪行,あくぎょう,名詞
あくぎょう,あくぎょう,名詞
悪質だ,あくしつだ,形容詞
悪しつだ,あくしつだ,形容詞
あくしつだ,あくしつだ,形容詞
握手,あくしゅ,名詞
あく手,あくしゅ,名詞
あくしゅ,あくしゅ,名詞
悪習,あくしゅう,名詞
あくしゅう,あくしゅう,名詞
悪臭,あくしゅう,名詞
悪しゅう,あくしゅう,名詞
あくしゅう,あくしゅう,名詞
アクション,あくしょん,名詞
悪事,あくじ,名詞
あくじ,あくじ,名詞
悪女,あくじょ,名詞
あくじょ,あくじょ,名詞
悪声,あくせい,名詞
あくせい,あくせい,名詞
悪性,あくせい,名詞
悪せい,あくせい,名詞
あくせい,あくせい,名詞
悪政,あくせい,名詞
悪せい,あくせい,名詞
あくせい,あくせい,名詞
あくせく,あくせく,副詞
アクセサリ,あくせさり,名詞
アクセサリー,あくせさりー,名詞
アクセス,あくせす,名詞
アクセル,あくせる,名詞
悪戦,あくせん,名詞
悪せん,あくせん,名詞
あくせん,あくせん,名詞
アクセント,あくせんと,名詞
悪態,あくたい,名詞
悪たい,あくたい,名詞
あくたい,あくたい,名詞
アクター,あくたー,名詞
悪玉,あくだま,名詞
あくだま,あくだま,名詞
アクティブだ,あくてぃぶだ,形容詞
悪党,あくとう,名詞
悪とう,あくとう,名詞
あくとう,あくとう,名詞
悪徳,あくとく,名詞
悪とく,あくとく,名詞
あくとく,あくとく,名詞
あくどい,あくどい,形容詞
悪童,あくどう,名詞
あくどう,あくどう,名詞
悪人,あくにん,名詞
あくにん,あくにん,名詞
悪筆だ,あくひつだ,形容詞
あくひつだ,あくひつだ,形容詞
悪評,あくひょう,名詞
悪ひょう,あくひょう,名詞
あくひょう,あくひょう,名詞
あくび,あくび,名詞
悪文,あくぶん,名詞
あくぶん,あくぶん,名詞
悪弊,あくへい,名詞
悪へい,あくへい,名詞
あくへい,あくへい,名詞
悪癖,あくへき,名詞
悪へき,あくへき,名詞
あくへき,あくへき,名詞
悪法,あくほう,名詞
悪ほう,あくほう,名詞
あくほう,あくほう,名詞
悪魔,あくま,名詞
あくま,あくま,名詞
あくまで,あくまで,副詞
あくまでも,あくまでも,副詞
悪夢,あくむ,名詞
あくむ,あくむ,名詞
悪名高い,あくめいたかい,形容詞
悪名たかい,あくめいたかい,形容詞
悪めい高い,あくめいたかい,形容詞
あく名高い,あくめいたかい,形容詞
悪めいたかい,あくめいたかい,形容詞
あく名たかい,あくめいたかい,形容詞
あくめい高い,あくめいたかい,形容詞
あくめいたかい,あくめいたかい,形容詞
悪役,あくやく,名詞
あくやく,あくやく,名詞
悪友,あくゆう,名詞
あくゆう,あくゆう,名詞
悪用,あくよう,名詞
あくよう,あくよう,名詞
悪辣だ,あくらつだ,形容詞
悪らつだ,あくらつだ,形容詞
あくらつだ,あくらつだ,形容詞
悪霊,あくりょう,名詞
悪りょう,あくりょう,名詞
あくりょう,あくりょう,名詞
握力,あくりょく,名詞
あく力,あくりょく,名詞
あくりょく,あくりょく,名詞
アクリル,あくりる,名詞
明くる,あくる,連体詞
あくる,あくる,連体詞
倦む,あぐむ,動詞
あぐむ,あぐむ,動詞
倦める,あぐめる,動詞
あぐめる,あぐめる,動詞
あぐら,あぐら,名詞
明け方,あけがた,名詞
明けがた,あけがた,名詞
あけがた,あけがた,名詞
明け暮れる,あけくれる,動詞
明けくれる,あけくれる,動詞
あけ暮れる,あけくれる,動詞
あけくれる,あけくれる,動詞
明け透けだ,あけすけだ,形容詞
明けすけだ,あけすけだ,形容詞
あけ透けだ,あけすけだ,形容詞
あけすけだ,あけすけだ,形容詞
開けっ広げだ,あけっぴろげだ,形容詞
開けっぴろげだ,あけっぴろげだ,形容詞
あけっ広げだ,あけっぴろげだ,形容詞
あけっぴろげだ,あけっぴろげだ,形容詞
明けの明星,あけのみょうじょう,名詞
あけのみょうじょう,あけのみょうじょう,名詞
開け放つ,あけはなつ,動詞
開けはなつ,あけはなつ,動詞
あけ放つ,あけはなつ,動詞
あけはなつ,あけはなつ,動詞
開け放てる,あけはなてる,動詞
開けはなてる,あけはなてる,動詞
あけ放てる,あけはなてる,動詞
あけはなてる,あけはなてる,動詞
曙,あけぼの,名詞
あけぼの,あけぼの,名詞
明ける,あける,動詞
あける,あける,動詞
空ける,あける,動詞
あける,あける,動詞
開ける,あける,動詞
あける,あける,動詞
明け渡す,あけわたす,動詞
明けわたす,あけわたす,動詞
あけ渡す,あけわたす,動詞
あけわたす,あけわたす,動詞
明け渡せる,あけわたせる,動詞
明けわたせる,あけわたせる,動詞
あけ渡せる,あけわたせる,動詞
あけわたせる,あけわたせる,動詞
揚げ足,あげあし,名詞
上げ足,あげあし,名詞
挙げ足,あげあし,名詞
揚足,あげあし,名詞
上足,あげあし,名詞
挙足,あげあし,名詞
あげ足,あげあし,名詞
あげあし,あげあし,名詞
上げ下ろし,あげおろし,名詞
あげおろし,あげおろし,名詞
挙げ句,あげく,副詞
揚げ句,あげく,副詞
挙句,あげく,副詞
揚句,あげく,副詞
挙げく,あげく,副詞
あげ句,あげく,副詞
揚げく,あげく,副詞
挙く,あげく,副詞
揚く,あげく,副詞
あげく,あげく,副詞
上げ下げ,あげさげ,名詞
あげさげ,あげさげ,名詞
上げ潮,あげしお,名詞
上潮,あげしお,名詞
上げしお,あげしお,名詞
上しお,あげしお,名詞
あげしお,あげしお,名詞
揚げ羽蝶,あげはちょう,名詞
揚羽蝶,あげはちょう,名詞
揚げ羽ちょう,あげはちょう,名詞
揚羽ちょう,あげはちょう,名詞
あげ羽蝶,あげはちょう,名詞
鳳蝶,あげはちょう,名詞
あげ羽ちょう,あげはちょう,名詞
あげはちょう,あげはちょう,名詞
アゲハチョウ,あげはちょう,名詞
揚げ物,あげもの,名詞
揚物,あげもの,名詞
揚げもの,あげもの,名詞
揚もの,あげもの,名詞
あげ物,あげもの,名詞
あげもの,あげもの,名詞
上げる,あげる,動詞
あげる,あげる,動詞
挙げる,あげる,動詞
あげる,あげる,動詞
揚げる,あげる,動詞
あげる,あげる,動詞
憧れる,あこがれる,動詞
憬れる,あこがれる,動詞
あこがれる,あこがれる,動詞
顎,あご,名詞
アゴ,あご,名詞
あご,あご,名詞
朝,あさ,名詞
あさ,あさ,名詞
麻,あさ,名詞
あさ,あさ,名詞
浅い,あさい,形容詞
あさい,あさい,形容詞
朝市,あさいち,名詞
あさいち,あさいち,名詞
朝起き,あさおき,名詞
あさおき,あさおき,名詞
朝顔,あさがお,名詞
あさがお,あさがお,名詞
朝駆け,あさがけ,名詞
朝がけ,あさがけ,名詞
あさがけ,あさがけ,名詞
朝方,あさがた,名詞
あさがた,あさがた,名詞
朝霧,あさぎり,名詞
朝ぎり,あさぎり,名詞
あさぎり,あさぎり,名詞
浅黒い,あさぐろい,形容詞
浅ぐろい,あさぐろい,形容詞
あさ黒い,あさぐろい,形容詞
あさぐろい,あさぐろい,形容詞
朝げ,あさげ,名詞
あさげ,あさげ,名詞
朝潮,あさしお,名詞
朝しお,あさしお,名詞
あさしお,あさしお,名詞
浅瀬,あさせ,名詞
あさ瀬,あさせ,名詞
あさせ,あさせ,名詞
明後日,あさって,名詞
あさって,あさって,名詞
朝っぱら,あさっぱら,名詞
あさっぱら,あさっぱら,名詞
朝露,あさつゆ,名詞
朝つゆ,あさつゆ,名詞
あさつゆ,あさつゆ,名詞
朝凪ぎ,あさなぎ,名詞
朝凪,あさなぎ,名詞
朝なぎ,あさなぎ,名詞
あさなぎ,あさなぎ,名詞
朝な夕な,あさなゆうな,名詞
あさなゆうな,あさなゆうな,名詞
浅墓だ,あさはかだ,形容詞
浅はかだ,あさはかだ,形容詞
あさ墓だ,あさはかだ,形容詞
あさはかだ,あさはかだ,形容詞
朝晩,あさばん,名詞
朝ばん,あさばん,名詞
あさばん,あさばん,名詞
朝日,あさひ,名詞
陽日,あさひ,名詞
旭,あさひ,名詞
あさひ,あさひ,名詞
浅ましい,あさましい,形容詞
あさましい,あさましい,形容詞
浅緑,あさみどり,名詞
あさ緑,あさみどり,名詞
あさみどり,あさみどり,名詞
朝飯,あさめし,名詞
朝めし,あさめし,名詞
あさめし,あさめし,名詞
朝飯前,あさめしまえ,名詞
朝めし前,あさめしまえ,名詞
あさめしまえ,あさめしまえ,名詞
朝靄,あさもや,名詞
朝もや,あさもや,名詞
あさもや,あさもや,名詞
朝焼け,あさやけ,名詞
朝やけ,あさやけ,名詞
あさやけ,あさやけ,名詞
朝夕,あさゆう,名詞
あさゆう,あさゆう,名詞
浅蜊,あさり,名詞
アサリ,あさり,名詞
あさり,あさり,名詞
漁る,あさる,動詞
あさる,あさる,動詞
漁れる,あされる,動詞
あされる,あされる,動詞
字,あざ,名詞
あざ,あざ,名詞
痣,あざ,名詞
あざ,あざ,名詞
嘲る,あざける,動詞
あざける,あざける,動詞
嘲れる,あざけれる,動詞
あざけれる,あざけれる,動詞
欺く,あざむく,動詞
あざむく,あざむく,動詞
欺ける,あざむける,動詞
あざむける,あざむける,動詞
鮮やかだ,あざやかだ,形容詞
あざやかだ,あざやかだ,形容詞
あざらし,あざらし,名詞
アザラシ,あざらし,名詞
あざ笑う,あざわらう,動詞
あざわらう,あざわらう,動詞
あざ笑える,あざわらえる,動詞
あざわらえる,あざわらえる,動詞
脚,あし,名詞
あし,あし,名詞
芦,あし,名詞
あし,あし,名詞
アシ,あし,名詞
足,あし,名詞
あし,あし,名詞
足跡,あしあと,名詞
足あと,あしあと,名詞
あしあと,あしあと,名詞
悪しい,あしい,形容詞
あしい,あしい,形容詞
足音,あしおと,名詞
あしおと,あしおと,名詞
海驢,あしか,名詞
葦鹿,あしか,名詞
アシカ,あしか,名詞
あしか,あしか,名詞
足掛け,あしかけ,名詞
足掛,あしかけ,名詞
足かけ,あしかけ,名詞
あしかけ,あしかけ,名詞
足枷,あしかせ,名詞
足かせ,あしかせ,名詞
あしかせ,あしかせ,名詞
あしからず,あしからず,感動詞
足掛かり,あしがかり,名詞
足懸かり,あしがかり,名詞
足掛り,あしがかり,名詞
足懸り,あしがかり,名詞
足がかり,あしがかり,名詞
あしがかり,あしがかり,名詞
足型,あしがた,名詞
足がた,あしがた,名詞
あしがた,あしがた,名詞
足固め,あしがため,名詞
足がため,あしがため,名詞
あしがため,あしがため,名詞
足首,あしくび,名詞
あしくび,あしくび,名詞
足腰,あしこし,名詞
足こし,あしこし,名詞
あしこし,あしこし,名詞
足先,あしさき,名詞
あしさき,あしさき,名詞
足繁く,あししげく,副詞
足しげく,あししげく,副詞
あし繁く,あししげく,副詞
あししげく,あししげく,副詞
アシスト,あしすと,名詞
あした,あした,名詞
明日葉,あしたば,名詞
あしたば,あしたば,名詞
アシタバ,あしたば,名詞
